City,Cloudiness,Country,Humidity,Latitude,Longitude,Max Temperature,Wind Speeds
Omboué,100,GA,90,-1.57,9.26,76.84,6.08
Xixiang,52,CN,31,35.16,112.86,59.94,7.14
Clyde,0,US,70,41.3,-82.98,46.0,13.27
Bushehr,0,IR,50,28.97,50.84,73.99,6.76
Kumul,0,CN,67,42.8,93.45,36.81,8.81
Divnoye,100,RU,81,45.91,43.35,56.25,6.96
Hay-on-wye,88,GB,85,52.07,-3.13,51.01,3.0
Tchibanga,100,GA,99,-2.85,11.03,72.37,2.89
Chokwé,4,MZ,87,-24.53,32.98,68.61,8.68
Almaznyy,100,RU,93,48.04,40.05,50.0,12.5
Corowa,0,AU,53,-36.03,146.38,72.0,1.99
Khasan,0,RU,54,42.43,130.64,55.13,4.92
Bilibino,74,RU,86,68.05,166.44,5.54,2.77
Tsimmerbude,40,RU,93,54.67,20.13,39.2,2.24
Nyurba,45,RU,92,63.28,118.33,-0.9,3.18
Shingū,75,JP,56,33.73,135.98,69.8,9.17
Bonavista,90,CA,68,48.65,-53.11,30.99,9.17
Sao,0,IN,60,20.51,76.21,66.4,3.2
Opuwo,32,NA,61,-18.06,13.84,67.91,2.26
Bantou,34,CN,52,26.22,117.49,71.13,2.26
Faanui,0,PF,74,-16.48,-151.75,79.54,19.35
Muhafazat Lahij,0,YE,68,13.17,44.58,72.19,5.06
Mananjary,100,MG,83,-21.22,48.33,63.25,4.14
Barkhan,0,PK,39,29.9,69.53,51.12,2.91
Machachi,75,EC,54,-0.5,-78.57,59.0,3.36
Borås,90,SE,93,57.72,12.94,52.0,11.41
Dingle,100,PH,84,11.0,122.67,81.34,9.55
Chengde,0,CN,42,40.97,117.94,46.78,12.86
Burgeo,53,CA,88,47.62,-57.62,33.31,18.84
Anadyr,20,RU,84,64.75,177.48,8.6,6.71
Guatire,100,VE,92,10.48,-66.54,72.0,2.21
Nome,1,US,68,64.5,-165.41,27.0,4.7
Oriximiná,26,BR,51,-1.77,-55.87,82.81,3.06
Adrar,53,MR,17,20.5,-10.07,79.5,11.32
Esim,43,GH,86,4.87,-2.24,78.01,4.38
Tilichiki,100,RU,94,60.47,166.1,26.89,7.27
Cagayan,100,PH,78,6.97,118.51,82.17,9.31
Klyuchi,3,RU,97,52.27,79.17,31.41,6.51
Scottsbluff,1,US,65,41.87,-103.67,41.0,4.7
Katastari,0,GR,81,37.83,20.77,53.6,5.39
Shakiso,73,ET,96,5.75,38.92,56.88,2.48
Berdigestyakh,38,RU,88,62.1,126.7,-7.91,3.13
Buşayrā,0,JO,95,30.74,35.61,52.12,1.23
Kaa-Khem,98,RU,91,51.68,94.73,23.38,3.13
Arandis,99,NA,93,-22.42,14.97,55.0,5.01
Alenquer,0,BR,83,-1.94,-54.74,78.8,4.7
Dinguiraye,100,GN,55,11.3,-10.72,72.54,1.88
Kroya,15,ID,75,-7.63,109.25,75.0,4.0
Viedma,0,AR,46,-40.81,-63.0,66.0,1.01
Dudinka,75,RU,85,69.41,86.18,21.2,26.84
Sarangani,100,PH,76,5.4,125.46,83.3,13.51
Lianhe,92,CN,72,47.13,129.27,38.8,12.91
Chipata,0,ZM,74,-13.63,32.65,63.16,6.67
Litovko,100,RU,84,49.24,135.17,45.12,7.49
Chekmagush,100,RU,93,55.13,54.66,39.07,6.02
Feijó,100,BR,94,-8.16,-70.35,68.65,1.95
Awka,91,NG,92,6.21,7.07,74.16,3.71
Pangnirtung,75,CA,67,66.15,-65.71,17.6,3.36
Kamenka,100,RU,73,51.32,42.77,49.6,12.1
Kisangani,87,CD,88,0.52,25.2,70.59,1.1
Westport,90,US,65,41.14,-73.36,46.4,8.05
Takāb,7,IR,51,36.4,47.11,44.17,1.68
Itupiranga,0,BR,77,-5.13,-49.33,78.87,2.26
Derzhavīnsk,67,KZ,72,51.1,66.32,36.55,7.72
Belmonte,40,BR,83,-15.86,-38.88,77.0,6.93
High,1,US,76,33.61,-95.75,53.6,5.82
Tuy,90,PH,78,14.02,120.73,77.0,6.93
Acapulco de Juárez,40,MX,83,16.86,-99.89,82.4,5.82
Parintins,70,BR,44,-2.63,-56.74,82.96,2.86
Karachi,0,PK,59,24.91,67.08,64.4,3.36
Zambezi,13,ZM,65,-13.54,23.1,66.99,2.1
Kieta,76,PG,64,-6.22,155.63,86.27,4.5
Daru,44,PG,69,-9.08,143.21,84.85,13.31
Elliot,100,ZA,94,-31.33,27.85,49.35,3.24
Grand,1,US,37,38.88,-109.5,53.6,4.12
